"","CD_C1_H.Gene","CD_C1_H.CD_C1_H","CD_C2_H.CD_C2_H","CD_C3_H.CD_C3_H","CD_HS1_H.CD_HS1_H","CD_HS2_H.CD_HS2_H","CD_HS3_H.CD_HS3_H"
"21223","ODF2L",2,128,6,2,6,0
"21224","ODF3",0,60,0,0,0,0
"21225","ODF3B",0,1,0,0,0,0
"21226","ODF3L1",0,0,0,0,0,0
"21227","ODF3L2",0,0,0,0,0,0
"21228","ODR4",5,1381,1,13,18,17
"21229","OFD1",11,607,9,31,6,55
"21230","OGA",7,1820,13,0,9,36
"21231","OGDH",124,17304,131,166,178,718
"21232","OGDHL",1,100,0,0,0,12
"21233","OGFOD1",3,293,0,0,1,11
"21234","OGFOD2",4,570,0,0,0,17
"21235","OGFOD3",2,386,0,0,7,6
"21236","OGFR",0,0,0,0,0,0
"21237","OGFRL1",0,38,0,20,0,0
"21238","OGG1",0,2,0,23,0,28
"21239","OGN",2,377,12,15,0,14
"21240","OGT",12,2270,32,32,15,96
"21241","OIP5",0,0,0,0,0,0
"21242","OIT3",0,0,0,0,0,0
"21243","OLA1",0,0,0,0,0,0
"21244","OLAH",0,0,0,0,0,0
"21245","OLFM1",5,1001,6,0,8,42
"21246","OLFM2",0,0,0,0,0,0
"21247","OLFM3",0,0,0,0,0,0
"21248","OLFM4",0,0,0,0,0,0
"21249","OLFML1",3,0,0,0,0,0
"21250","OLFML2A",47,5891,79,23,60,133
"21251","OLFML2B",2,433,0,25,7,18
"21252","OLFML3",0,0,0,0,0,0
"21253","OLIG1",0,0,0,0,0,0
"21254","OLIG2",0,0,0,0,0,0
"21255","OLIG3",0,0,0,0,0,0
"21256","OMA1",0,380,0,0,0,6
"21257","OMD",0,0,0,0,0,0
"21258","OMG",0,0,0,0,0,0
"21259","ONECUT1",0,21,0,0,0,0
