"","CD_C1_H.Gene","CD_C1_H.CD_C1_H","CD_C2_H.CD_C2_H","CD_C3_H.CD_C3_H","CD_HS1_H.CD_HS1_H","CD_HS2_H.CD_HS2_H","CD_HS3_H.CD_HS3_H"
"1","A1CF",0,0,0,46,0,0
"2","A2ML1",0,1,0,0,0,0
"3","A4GALT",5,2926,32,54,29,49
"4","AAAS",0,0,0,0,0,0
"5","AACS",2,161,0,0,2,1
"6","AAGAB",0,0,0,0,0,0
"7","AAK1",2,313,0,18,7,32
"8","AAMDC",1,288,11,0,7,1
"9","AANAT",0,0,0,0,0,0
"10","AAR2",0,0,0,0,0,0
"11","AARS1",19,2426,56,78,37,238
"12","AARS2",3,496,2,6,0,14
"13","AASDH",6,324,2,0,11,20
"14","AASDHPPT",2,386,8,19,2,17
"15","AASS",8,1746,22,21,25,45
"16","AATF",0,0,0,0,0,0
"17","AATK",0,0,0,0,0,0
"18","ABAT",0,34,0,0,0,0
"19","ABCA1",4,545,2,11,5,11
"20","ABCA12",0,0,0,0,0,0
"21","ABCA13",0,0,0,0,0,0
"22","ABCA2",0,58,0,0,1,11
"23","ABCA3",0,179,0,3,0,1
"24","ABCA4",0,0,0,0,0,0
"25","ABCA5",3,251,0,0,2,1
"26","ABCA7",0,83,0,0,0,7
"27","ABCB1",0,0,0,0,0,0
"28","ABCB10",0,590,0,0,6,8
"29","ABCB11",0,0,0,0,0,0
"30","ABCB5",0,5,0,0,0,1
"31","ABCB6",0,0,0,0,0,0
"32","ABCB7",6,733,11,12,0,78
"33","ABCB8",0,561,16,0,1,29
"34","ABCB9",0,139,0,11,0,1
"35","ABCC10",2,175,0,5,0,26
"36","ABCC12",0,0,0,1,0,0
"37","ABCC2",0,184,5,0,0,0
"38","ABCC3",2,385,34,0,6,19
"39","ABCC4",0,70,0,0,0,1
"40","ABCC5",7,1661,18,72,35,260
"41","ABCC8",55,7715,61,100,110,198
"42","ABCC9",30,4280,29,39,31,147
"43","ABCD2",0,57,0,0,0,1
"44","ABCD3",11,823,4,0,6,30
"45","ABCD4",4,330,0,44,2,1
"46","ABCE1",11,1539,53,19,18,64
"47","ABCF1",113,5378,131,176,162,978
"48","ABCF3",6,1109,38,62,10,41
"49","ABCG1",0,245,0,2,0,4
"50","ABCG4",0,0,0,0,0,0
"51","ABHD1",0,46,0,0,0,0
"52","ABHD10",0,291,0,4,0,3
"53","ABHD11",0,0,0,0,0,0
"54","ABHD12",7,291,1,0,1,6
"55","ABHD12B",0,0,0,0,0,0
"56","ABHD13",0,23,0,0,0,0
"57","ABHD14A",0,127,1,0,0,9
"58","ABHD14B",1,259,0,17,6,2
"59","ABHD15",0,0,0,0,0,0
"60","ABHD16A",0,314,0,0,0,13
"61","ABHD16B",0,0,0,0,0,0
"62","ABHD17A",3,324,0,0,0,13
"63","ABHD17B",0,130,7,0,4,4
"64","ABHD17C",0,0,0,0,0,0
"65","ABHD18",3,375,0,17,1,7
"66","ABHD2",0,1,0,0,0,2
"67","ABHD3",2,86,10,5,1,0
"68","ABHD4",0,0,0,0,0,0
"69","ABHD5",7,699,11,14,8,19
"70","ABHD6",0,252,16,11,9,20
"71","ABHD8",54,8767,96,176,78,329
"72","ABI1",3,367,21,0,11,33
"73","ABI2",0,0,0,0,0,0
"74","ABI3",0,31,0,7,3,0
"75","ABITRAM",1,100,5,1,4,8
"76","ABL1",11,899,1,0,3,21
"77","ABL2",4,302,0,0,6,0
"78","ABLIM1",54,5415,100,79,46,150
"79","ABLIM2",4,402,18,0,7,12
"80","ABLIM3",5,488,0,0,6,24
"81","ABR",4,768,0,18,0,21
"82","ABRA",0,307,0,0,11,26
"83","ABRACL",0,0,0,0,0,4
"84","ABRAXAS1",0,115,0,0,0,0
"85","ABRAXAS2",4,390,0,0,0,4
"86","ABT1",0,0,0,0,0,0
"87","ABTB1",3,785,12,0,5,31
"88","ABTB2",0,62,0,0,7,5
"89","ACAA1",2,835,9,5,13,50
"90","ACAA2",30,3799,61,80,58,229
"91","ACACA",0,16,0,0,0,0
"92","ACACB",13,3147,22,106,15,59
"93","ACAD10",3,263,0,0,8,14
"94","ACAD11",13,689,36,0,7,23
"95","ACAD8",0,0,0,0,0,0
"96","ACAD9",27,2851,43,57,22,111
"97","ACADL",0,0,0,0,0,0
"98","ACADM",25,3229,21,94,17,100
"99","ACADS",19,1628,0,2,20,54
"100","ACADSB",22,3982,52,25,54,124
"101","ACADVL",1,21,0,0,0,3
"102","ACAN",0,52,0,0,0,0
"103","ACAP2",9,1894,13,2,23,79
"104","ACAP3",0,0,0,0,0,0
"105","ACAT1",120,16749,291,275,246,708
"106","ACAT2",5,106,0,0,0,17
"107","ACBD3",11,1535,26,11,42,59
"108","ACBD4",6,779,0,31,5,37
"109","ACBD5",11,840,35,29,7,18
"110","ACBD6",12,1061,15,13,15,47
"111","ACBD7",3,498,19,0,5,6
"112","ACCS",0,57,0,0,0,0
"113","ACE",18,2244,39,13,33,103
"114","ACE2",0,0,0,0,0,0
"115","ACER1",0,0,0,0,0,0
"116","ACER2",1,355,0,0,8,8
"117","ACER3",11,676,0,9,1,8
"118","ACHE",0,0,0,0,0,0
"119","ACIN1",0,0,0,0,0,0
"120","ACKR1",0,0,0,0,0,0
"121","ACKR2",0,0,0,0,0,0
"122","ACKR3",0,0,0,0,0,0
"123","ACKR4",0,0,0,0,0,5
"124","ACLY",1,709,1,16,5,26
"125","ACMSD",0,0,0,0,0,0
"126","ACO1",3,1388,16,1,12,61
"127","ACO2",128,19251,177,105,160,593
"128","ACOD1",0,0,0,0,0,0
"129","ACOT11",0,70,0,0,4,6
"130","ACOT12",0,0,1,0,0,0
"131","ACOT13",5,1317,13,27,34,66
"132","ACOT7",0,0,0,0,0,0
"133","ACOT8",0,0,0,0,0,0
"134","ACOT9",9,1326,13,14,15,19
"135","ACOX1",6,227,3,26,9,6
"136","ACOX2",0,134,0,0,1,9
"137","ACOX3",3,469,7,15,16,5
"138","ACP1",3,555,3,25,0,30
"139","ACP2",2,549,43,19,5,13
"140","ACP5",0,0,0,0,0,0
"141","ACP6",13,625,21,33,7,24
"142","ACP7",0,0,0,0,0,0
"143","ACR",0,0,0,0,0,0
"144","ACSBG1",3,217,5,0,14,14
"145","ACSBG2",0,86,0,0,0,18
"146","ACSF2",17,2020,30,47,24,87
"147","ACSF3",6,1164,39,42,15,59
"148","ACSL1",20,2995,31,85,32,86
"149","ACSL3",2,778,5,9,5,13
"150","ACSL4",3,1082,10,0,8,52
"151","ACSL5",0,0,0,0,0,0
"152","ACSL6",0,270,0,0,0,7
"153","ACSS1",1,500,0,13,10,6
"154","ACSS2",0,0,0,0,0,0
"155","ACSS3",0,2,0,26,0,5
"156","ACTA1",105,13673,2199,147,136,659
"157","ACTA2",1,374,0,20,0,22
"158","ACTB",0,52,0,0,0,1
"159","ACTBL2",0,0,0,0,0,0
"160","ACTC1",691,79399,1013,576,606,3615
"161","ACTG1",143,16170,310,422,194,747
"162","ACTG2",5,192,29,24,0,47
"163","ACTL10",0,0,0,0,0,0
"164","ACTL6A",6,988,0,17,12,33
"165","ACTL7A",0,0,0,0,0,0
"166","ACTL8",0,0,0,0,0,0
"167","ACTL9",0,0,0,0,0,0
"168","ACTN1",7,2296,23,64,15,57
"169","ACTN2",893,108947,950,1166,1348,4729
"170","ACTN3",65,7926,332,100,84,444
"171","ACTN4",0,0,0,0,0,0
"172","ACTR10",14,726,7,16,6,16
"173","ACTR1A",8,1949,0,0,10,35
"174","ACTR1B",8,630,0,12,1,34
"175","ACTR2",6,755,8,0,9,17
"176","ACTR3",0,0,0,0,0,0
"177","ACTR3B",1,127,0,5,3,7
"178","ACTR5",0,0,0,0,0,0
"179","ACTR6",9,648,13,16,8,17
"180","ACTR8",9,964,0,0,1,8
"181","ACTRT3",0,44,0,0,0,0
"182","ACVR1",0,0,0,0,0,0
"183","ACVR1B",0,22,28,0,0,0
"184","ACVR1C",0,0,0,0,0,0
"185","ACVR2A",0,0,0,0,0,0
"186","ACVR2B",1,404,0,7,9,18
"187","ACVRL1",0,27,0,0,0,0
"188","ACY1",0,72,7,0,2,5
"189","ACY3",0,0,0,0,0,0
"190","ACYP1",7,54,0,0,0,9
"191","ACYP2",0,845,5,43,12,10
"192","ADA2",1,3,12,0,0,6
"193","ADAD1",1,189,0,0,5,0
"194","ADAD2",0,0,0,0,0,0
"195","ADAL",0,0,0,0,0,0
"196","ADAM10",0,0,0,0,0,0
"197","ADAM11",0,0,0,0,0,0
"198","ADAM12",1,77,0,0,2,0
"199","ADAM15",0,273,0,0,0,13
"200","ADAM17",18,4579,37,9,27,66
"201","ADAM19",3,271,8,0,5,8
"202","ADAM22",0,7,0,0,0,0
"203","ADAM23",0,0,0,0,0,0
"204","ADAM32",0,0,0,0,0,0
"205","ADAM33",16,1914,29,43,30,126
"206","ADAM8",0,0,0,0,0,0
"207","ADAMTS1",0,597,23,50,6,18
"208","ADAMTS10",0,59,0,0,0,5
"209","ADAMTS12",0,96,0,0,0,0
"210","ADAMTS13",0,4,0,27,8,2
"211","ADAMTS14",0,56,14,0,3,3
"212","ADAMTS15",0,0,0,0,0,0
"213","ADAMTS17",0,43,0,0,0,0
"214","ADAMTS18",0,0,0,0,0,0
"215","ADAMTS19",0,38,0,0,0,6
"216","ADAMTS2",2,852,1,18,7,16
"217","ADAMTS20",26,4273,46,20,34,106
"218","ADAMTS3",0,213,0,0,2,1
"219","ADAMTS4",0,35,0,0,2,35
"220","ADAMTS5",3,446,2,0,8,13
"221","ADAMTS6",0,159,1,0,2,7
"222","ADAMTS7",0,42,0,0,0,0
"223","ADAMTS8",0,31,0,0,0,2
"224","ADAMTS9",0,183,0,33,0,4
"225","ADAMTSL1",5,169,0,0,0,1
"226","ADAMTSL2",0,12,0,0,0,0
"227","ADAMTSL3",0,58,0,0,0,4
"228","ADAMTSL4",6,545,0,0,3,15
"229","ADAMTSL5",5,286,4,12,0,23
"230","ADAP1",0,156,0,0,1,12
"231","ADAP2",0,3,0,0,0,0
"232","ADAR",1,790,71,0,0,19
"233","ADARB1",0,0,0,0,0,0
"234","ADARB2",0,134,0,0,2,7
"235","ADAT1",4,290,9,2,6,22
"236","ADAT2",2,74,0,0,0,0
"237","ADAT3",0,0,0,0,0,6
"238","ADCK1",0,17,0,0,0,0
"239","ADCK2",2,429,1,0,11,11
"240","ADCK5",0,152,0,0,0,4
"241","ADCY1",0,152,0,0,0,4
"242","ADCY10",0,107,0,0,0,0
"243","ADCY2",0,194,0,0,2,2
"244","ADCY3",0,93,0,0,0,6
"245","ADCY4",0,0,0,0,0,0
"246","ADCY5",0,0,0,0,0,0
"247","ADCY6",0,0,0,0,0,0
"248","ADCY7",0,108,0,0,0,0
"249","ADCY8",0,0,0,0,0,0
"250","ADCY9",0,2,0,0,0,0
"251","ADCYAP1",0,0,0,0,0,0
"252","ADCYAP1R1",0,0,1,0,0,0
"253","ADD1",19,3760,54,49,49,119
"254","ADD2",0,0,0,0,0,0
"255","ADD3",12,4083,42,6,17,124
"256","ADGB",0,141,0,0,0,0
"257","ADGRA1",0,51,0,0,0,13
"258","ADGRA2",12,1692,71,32,19,39
"259","ADGRA3",1,191,11,14,2,23
"260","ADGRB1",2,111,0,0,7,6
"261","ADGRB2",0,0,0,0,0,0
"262","ADGRB3",0,134,0,0,0,1
"263","ADGRD1",2,409,0,23,3,17
"264","ADGRD2",0,133,0,0,0,0
"265","ADGRE5",1,211,0,0,5,6
"266","ADGRF5",0,34,0,0,0,6
"267","ADGRG1",2,31,0,10,3,18
"268","ADGRG2",0,0,0,0,0,0
"269","ADGRG3",0,0,0,0,0,0
"270","ADGRG5",0,0,0,0,0,0
"271","ADGRG6",12,689,9,0,14,10
"272","ADGRG7",0,0,0,0,0,0
"273","ADGRL1",0,0,0,0,0,0
"274","ADGRL2",1,765,9,0,7,36
"275","ADGRL3",7,309,14,9,8,37
"276","ADGRL4",8,1465,26,9,8,10
"277","ADHFE1",1,110,0,11,1,0
"278","ADI1",13,378,3,0,5,12
"279","ADIG",0,0,0,0,0,0
"280","ADIPOR1",0,0,0,0,0,0
"281","ADIPOR2",8,840,0,0,6,4
"282","ADIRF",0,0,0,0,0,0
"283","ADK",19,1569,17,17,27,34
"284","ADM",0,124,0,0,0,10
"285","ADM2",1,57,0,0,0,0
"286","ADNP2",2,195,0,0,0,22
"287","ADO",1,122,0,0,0,0
"288","ADORA1",0,0,0,0,0,0
"289","ADORA2A",3,466,7,40,7,7
"290","ADORA2B",0,0,0,0,0,0
"291","ADORA3",0,0,0,0,0,0
"292","ADPGK",0,0,0,0,0,0
"293","ADPRH",7,1130,11,69,4,18
"294","ADPRHL1",61,11101,93,121,158,435
"295","ADPRM",0,204,7,0,7,0
"296","ADPRS",0,0,0,0,0,0
"297","ADRA1A",0,84,0,0,0,0
"298","ADRA1B",0,0,0,0,0,0
"299","ADRA1D",0,0,0,0,0,0
"300","ADRA2A",0,6,0,0,0,5
"301","ADRA2B",0,9,0,0,0,1
"302","ADRA2C",0,0,0,0,0,0
"303","ADRB1",2,681,0,15,11,26
"304","ADRB2",0,118,9,0,5,3
"305","ADRB3",0,0,0,0,0,0
"306","ADRM1",0,0,0,0,0,0
"307","ADSL",14,740,32,0,38,64
"308","ADSS1",14,3988,32,40,31,51
"309","ADSS2",1,281,0,4,0,22
"310","AEBP1",4,735,0,9,0,51
"311","AEBP2",0,161,3,0,0,2
"312","AEN",0,0,0,0,0,0
"313","AFAP1",0,551,4,8,2,21
"314","AFAP1L1",0,372,0,0,6,18
"315","AFAP1L2",3,753,19,0,0,23
"316","AFDN",29,3463,7,25,36,95
"317","AFF1",3,845,13,0,3,13
"318","AFF2",0,441,0,0,1,0
"319","AFF3",0,192,0,0,0,5
"320","AFF4",0,967,6,10,5,20
"321","AFG1L",0,42,0,0,0,10
"322","AFG3L2",16,2516,19,45,34,68
"323","AFMID",0,0,0,9,0,7
"324","AFTPH",5,489,15,11,3,2
"325","AGA",4,204,0,0,1,0
"326","AGAP1",0,0,0,0,0,0
"327","AGAP2",2,353,0,0,11,21
"328","AGAP3",7,594,5,13,4,13
"329","AGBL1",0,0,0,0,0,1
"330","AGBL2",0,0,0,0,0,0
"331","AGBL3",0,33,0,0,0,0
"332","AGBL5",4,634,0,23,2,14
"333","AGFG1",8,157,22,0,0,8
"334","AGFG2",0,332,11,0,0,0
"335","AGGF1",3,1373,21,34,6,58
"336","AGK",6,404,0,9,7,1
"337","AGL",0,2763,97,0,40,33
"338","AGMAT",1,315,0,0,0,5
"339","AGMO",0,1,0,0,0,0
"340","AGO2",0,438,0,5,0,5
"341","AGPAT2",3,320,9,19,5,24
"342","AGPAT3",9,672,15,1,10,11
"343","AGPAT4",3,292,7,19,5,19
"344","AGPAT5",2,401,1,27,11,15
"345","AGPS",0,0,0,0,0,0
"346","AGR2",0,0,0,0,0,0
"347","AGR3",0,0,0,0,0,0
"348","AGRN",0,85,0,0,0,3
"349","AGT",0,0,0,20,0,6
"350","AGTPBP1",5,183,0,10,5,25
"351","AGTR1",3,25,0,0,0,0
"352","AGTR2",0,0,0,0,0,0
"353","AGXT",0,0,0,0,0,1
"354","AGXT2",5,177,0,22,3,8
"355","AHCTF1",3,461,5,19,14,40
"356","AHCY",1,130,0,0,0,0
"357","AHCYL1",0,0,0,0,0,0
"358","AHCYL2",2,464,5,0,3,29
"359","AHDC1",0,0,0,0,0,3
"360","AHI1",23,865,20,152,13,44
"361","AHNAK",25,5717,75,61,57,86
"362","AHR",3,628,6,1,2,25
"363","AHRR",0,0,0,0,0,0
"364","AHSA1",30,2164,13,82,34,175
"365","AHSG",0,0,0,209,0,121
"366","AICDA",0,0,0,0,0,0
"367","AIDA",2,741,16,14,8,11
"368","AIF1",0,0,0,0,0,0
"369","AIF1L",3,700,3,0,9,41
"370","AIFM1",63,5845,73,53,61,224
"371","AIFM2",0,0,0,0,3,0
"372","AIFM3",0,111,9,9,4,5
"373","AIG1",0,340,0,0,0,3
"374","AIMP1",32,1985,78,34,32,107
"375","AIMP2",0,0,0,0,0,0
"376","AJAP1",0,0,0,0,0,0
"377","AJM1",0,159,0,0,0,6
"378","AK1",25,2517,56,16,23,131
"379","AK2",0,0,0,0,0,0
"380","AK3",32,1799,61,70,12,77
"381","AK4",0,72,0,0,4,3
"382","AK5",0,280,0,0,8,3
"383","AK6",0,441,15,0,4,24
"384","AK7",0,0,0,0,0,0
"385","AK8",1,88,0,0,0,0
"386","AK9",0,0,0,0,0,0
"387","AKAIN1",0,0,0,0,0,0
"388","AKAP1",0,0,0,0,0,0
"389","AKAP11",2,339,6,16,4,12
"390","AKAP12",261,24349,335,438,403,1447
"391","AKAP13",0,0,0,0,0,0
"392","AKAP14",0,0,0,0,0,0
"393","AKAP17A",9,753,4,28,0,88
"394","AKAP3",0,0,0,0,0,0
"395","AKAP6",9,1590,17,4,20,43
"396","AKAP7",4,153,0,0,2,4
"397","AKAP8",0,0,0,0,0,0
"398","AKAP8L",0,0,0,0,0,0
"399","AKAP9",44,4412,41,171,45,324
"400","AKIP1",6,206,9,19,7,17
"401","AKIRIN2",5,657,9,3,10,46
"402","AKNA",0,99,0,0,0,0
"403","AKNAD1",0,0,0,0,0,0
"404","AKR1A1",6,748,0,20,8,19
"405","AKR1D1",0,0,0,0,0,3
"406","AKR7A2",0,0,0,0,0,3
"407","AKT1",0,496,0,8,1,7
"408","AKT1S1",0,1,0,0,0,0
"409","AKT2",0,0,0,0,0,0
"410","AKT3",3,210,0,0,0,2
"411","ALAD",3,658,0,0,1,7
"412","ALAS1",22,2729,16,66,41,109
"413","ALAS2",0,0,0,0,0,0
"414","ALCAM",3,1407,1,27,4,40
"415","ALDH16A1",0,57,0,0,0,8
"416","ALDH18A1",9,591,0,10,0,41
"417","ALDH1A1",0,0,0,9,0,5
"418","ALDH1A2",0,0,0,0,0,0
"419","ALDH1A3",15,863,5,37,6,24
"420","ALDH1L2",22,5141,2,37,50,121
"421","ALDH2",27,4931,75,247,71,168
"422","ALDH3A2",0,0,0,0,0,0
"423","ALDH3B1",0,3,0,0,0,2
"424","ALDH4A1",0,0,0,0,0,0
"425","ALDH5A1",3,1981,22,17,9,23
"426","ALDH6A1",13,2057,37,11,34,99
"427","ALDH7A1",41,2138,22,67,34,138
"428","ALDH8A1",0,34,0,0,0,1
"429","ALDH9A1",7,1255,13,9,7,37
"430","ALDOA",232,30439,648,350,297,1222
"431","ALDOC",0,0,0,0,0,0
"432","ALG1",0,0,0,0,0,0
"433","ALG11",5,40,0,0,0,0
"434","ALG12",0,77,0,21,0,0
"435","ALG14",0,80,0,0,0,0
"436","ALG2",4,495,12,0,3,3
"437","ALG3",0,102,0,6,0,5
"438","ALG5",3,940,28,0,10,4
"439","ALG6",0,0,4,0,0,0
"440","ALG8",0,177,0,16,0,5
"441","ALG9",0,0,0,0,0,0
"442","ALK",0,0,0,0,0,0
"443","ALKAL1",0,0,0,0,0,0
"444","ALKAL2",0,0,0,0,0,0
"445","ALKBH1",1,189,21,0,0,0
"446","ALKBH2",1,60,0,0,0,1
"447","ALKBH3",1,109,0,0,0,22
"448","ALKBH4",0,0,0,0,0,0
"449","ALKBH5",0,0,0,0,0,0
"450","ALKBH6",0,0,0,0,0,0
"451","ALKBH7",0,0,0,0,0,0
"452","ALKBH8",0,70,0,0,3,12
"453","ALLC",0,0,0,0,0,0
"454","ALMS1",3,164,0,0,4,12
"455","ALOX5",0,0,0,0,0,0
"456","ALPK1",0,0,0,0,0,0
"457","ALPK2",0,0,0,0,0,0
"458","ALPK3",0,0,0,0,0,0
"459","ALPL",0,0,0,0,0,0
"460","ALS2",0,0,0,0,0,0
"461","ALS2CL",2,378,3,0,0,5
"462","ALX1",0,0,0,4,0,0
"463","ALX3",0,0,0,0,0,0
"464","ALX4",0,25,0,0,0,2
"465","ALYREF",4,498,0,10,15,54
"466","AMACR",12,551,0,14,5,6
"467","AMBN",0,0,0,0,0,0
"468","AMBRA1",3,729,0,35,1,6
"469","AMD1",3,1050,0,10,14,33
"470","AMDHD1",0,0,0,29,0,0
"471","AMDHD2",0,0,0,0,0,0
"472","AMER1",0,54,3,0,0,3
"473","AMER2",1,0,1,0,0,0
"474","AMER3",0,0,0,0,0,0
"475","AMFR",17,1287,9,112,12,86
"476","AMH",0,0,3,0,0,0
"477","AMHR2",4,356,5,0,6,10
"478","AMIGO1",0,0,0,0,0,0
"479","AMIGO2",0,2,4,0,1,0
"480","AMIGO3",0,0,0,0,0,0
"481","AMMECR1",0,322,19,0,0,13
"482","AMMECR1L",4,248,0,10,17,1
"483","AMN",0,0,0,0,0,0
"484","AMN1",4,206,0,10,3,0
"485","AMOT",6,1228,2,0,2,17
"486","AMOTL1",2,376,3,0,0,2
"487","AMOTL2",3,734,4,0,5,5
"488","AMPD1",0,0,0,0,0,0
"489","AMPD2",0,112,0,0,0,4
"490","AMPD3",10,1571,13,0,9,12
"491","AMPH",0,0,0,0,0,0
"492","AMT",0,803,46,93,3,119
"493","AMZ1",0,0,0,0,0,0
"494","AMZ2",0,106,3,0,0,3
"495","ANAPC1",1,403,3,0,1,11
"496","ANAPC10",2,336,0,0,2,5
"497","ANAPC11",4,479,1,0,9,15
"498","ANAPC13",0,347,0,0,0,12
"499","ANAPC15",8,382,42,42,10,104
"500","ANAPC16",2,309,0,0,13,12
"501","ANAPC2",10,589,0,0,27,37
"502","ANAPC4",5,142,4,0,5,10
"503","ANAPC5",8,588,0,54,2,9
"504","ANAPC7",3,578,7,14,6,12
"505","ANGEL1",0,119,0,0,1,0
"506","ANGEL2",0,31,0,0,3,3
"507","ANGPT1",4,379,12,20,14,17
"508","ANGPT2",0,0,0,0,0,0
"509","ANGPT4",42,6612,200,120,67,599
"510","ANGPTL1",0,0,0,0,1,1
"511","ANGPTL2",0,955,5,0,26,9
"512","ANGPTL3",0,0,0,0,0,0
"513","ANGPTL4",10,1039,0,69,7,33
"514","ANGPTL5",0,37,0,0,0,1
"515","ANGPTL6",0,0,0,0,0,0
"516","ANGPTL7",0,57,0,0,0,0
"517","ANK1",18,2522,77,85,36,128
"518","ANK2",24,4753,50,60,86,139
"519","ANK3",103,16943,252,179,212,501
"520","ANKAR",0,0,0,0,0,0
"521","ANKDD1A",0,83,0,0,0,1
"522","ANKDD1B",0,70,0,0,0,0
"523","ANKEF1",1,0,0,0,0,0
"524","ANKFN1",0,0,0,0,0,0
"525","ANKFY1",0,398,4,0,8,6
"526","ANKH",0,34,0,0,0,0
"527","ANKIB1",4,391,0,0,6,55
"528","ANKK1",0,0,0,0,0,0
"529","ANKLE1",11,564,0,1,4,23
"530","ANKLE2",2,357,1,0,5,24
"531","ANKMY1",0,0,0,0,0,1
"532","ANKMY2",4,1507,4,18,64,45
"533","ANKRA2",2,487,0,0,6,10
"534","ANKRD1",0,23,0,0,0,0
"535","ANKRD10",2,415,0,0,7,20
"536","ANKRD11",199,10111,61,440,233,1444
"537","ANKRD12",47,3490,26,228,106,1008
"538","ANKRD13A",4,1112,34,34,4,53
"539","ANKRD13B",0,0,0,0,0,0
"540","ANKRD13C",6,566,0,39,0,18
"541","ANKRD13D",8,754,3,2,2,5
"542","ANKRD16",1,0,0,0,0,0
"543","ANKRD17",14,1192,1,47,20,116
"544","ANKRD2",1,0,0,0,0,0
"545","ANKRD22",0,0,0,0,0,0
"546","ANKRD23",2,3,0,34,0,2
"547","ANKRD24",6,1247,12,25,10,58
"548","ANKRD26",10,565,45,35,32,22
"549","ANKRD27",3,410,0,0,4,6
"550","ANKRD28",1,466,0,0,5,5
"551","ANKRD29",0,0,0,0,0,5
"552","ANKRD31",0,0,0,0,0,0
"553","ANKRD33",0,0,0,0,0,1
"554","ANKRD33B",0,0,0,0,0,0
"555","ANKRD34A",0,0,0,0,3,1
"556","ANKRD34B",0,70,0,0,0,0
"557","ANKRD34C",0,0,0,0,0,0
"558","ANKRD35",0,0,0,0,0,0
"559","ANKRD37",0,92,0,0,8,15
"560","ANKRD39",0,235,0,0,0,4
"561","ANKRD42",0,0,0,0,0,0
"562","ANKRD44",0,0,0,0,0,0
"563","ANKRD45",0,38,0,0,0,0
"564","ANKRD46",5,912,4,3,12,43
"565","ANKRD49",0,63,0,0,4,2
"566","ANKRD50",3,3530,49,45,33,49
"567","ANKRD52",0,252,0,0,2,19
"568","ANKRD53",0,0,0,0,0,0
"569","ANKRD54",7,313,0,36,4,15
"570","ANKRD55",0,0,0,0,0,0
"571","ANKRD6",1,42,0,0,0,0
"572","ANKRD60",0,0,0,0,0,0
"573","ANKRD61",0,0,0,0,0,0
"574","ANKRD65",0,0,0,0,0,0
"575","ANKRD66",1,0,0,0,0,0
"576","ANKRD9",1,179,0,0,1,6
"577","ANKS1A",1,182,0,0,0,12
"578","ANKS1B",0,3,0,0,0,6
"579","ANKS3",0,0,0,0,0,0
"580","ANKS4B",2,88,9,0,0,3
"581","ANKS6",2,473,0,0,3,4
"582","ANKUB1",0,0,0,0,0,0
"583","ANKZF1",0,0,0,0,0,0
"584","ANLN",3,1005,24,0,6,26
"585","ANO1",0,0,0,0,0,3
"586","ANO10",6,340,0,4,2,18
"587","ANO2",9,1999,0,20,21,48
"588","ANO3",0,0,0,0,10,0
"589","ANO4",0,0,0,0,0,0
"590","ANO5",2,420,0,0,4,8
"591","ANO6",0,103,0,1,2,5
"592","ANO7",0,224,0,0,2,8
"593","ANO8",0,260,1,0,0,0
"594","ANO9",0,1,0,0,0,2
"595","ANOS1",0,38,0,0,0,0
"596","ANP32A",0,0,0,0,0,0
"597","ANP32E",30,3857,27,66,61,160
"598","ANTKMT",0,0,0,0,0,0
"599","ANTXR1",0,35,0,0,0,0
"600","ANTXR2",28,3923,63,91,29,106
"601","ANTXRL",4,87,0,13,9,19
"602","ANXA1",10,1179,33,78,30,56
"603","ANXA10",0,0,0,0,0,0
"604","ANXA11",8,2829,31,26,29,59
"605","ANXA13",0,0,0,0,0,3
"606","ANXA2",0,0,0,0,0,0
"607","ANXA3",6,663,26,0,15,45
"608","ANXA4",0,0,0,0,0,0
"609","ANXA5",9,901,9,72,5,66
"610","ANXA6",37,8231,140,363,127,553
"611","ANXA7",7,2762,7,19,12,84
"612","ANXA9",0,0,0,0,0,0
"613","AOAH",0,0,0,0,0,0
"614","AOC1",0,1,0,0,0,5
"615","AOC3",9,1301,25,7,15,40
"616","AOPEP",0,73,1,0,8,5
"617","AP1AR",5,324,0,0,5,1
"618","AP1B1",8,596,0,0,23,25
"619","AP1G1",5,678,20,0,17,40
"620","AP1G2",0,0,0,0,0,0
"621","AP1M1",10,867,12,13,7,27
"622","AP1M2",0,1,0,0,0,2
"623","AP1S2",27,3832,15,37,29,119
"624","AP1S3",0,0,0,0,0,0
"625","AP2A2",10,1051,16,69,8,38
"626","AP2B1",0,119,0,0,1,4
"627","AP2M1",25,2677,43,124,18,184
"628","AP2S1",0,0,0,0,0,0
"629","AP3B1",12,737,0,5,7,21
"630","AP3B2",0,0,0,0,0,0
"631","AP3D1",44,3560,30,118,56,537
"632","AP3M1",0,258,12,0,0,31
"633","AP3M2",0,341,0,0,6,10
"634","AP3S1",1,91,0,12,1,2
"635","AP4B1",0,0,0,0,0,0
"636","AP4E1",0,0,0,0,0,0
"637","AP4M1",1,26,0,0,0,2
"638","AP4S1",4,97,0,16,0,10
"639","AP5B1",0,4,0,0,0,0
"640","AP5M1",1,338,0,25,5,22
"641","AP5S1",0,23,0,0,0,0
"642","AP5Z1",0,0,0,0,0,2
"643","APAF1",0,172,0,7,4,1
"644","APBA1",0,67,0,0,0,11
"645","APBA2",0,0,0,0,3,0
"646","APBA3",1,305,1,0,0,5
"647","APBB1",0,677,0,0,4,11
"648","APBB2",5,911,18,19,8,27
"649","APBB3",0,0,0,0,0,1
"650","APC",10,1170,11,0,24,9
